verb,tam,modal,transitivity,polarity,complementizer,count
abandon,infinitival,none,intransitive,positive,that,6
abandon,past,none,intransitive,positive,that,28
abandon,perfect,none,intransitive,positive,that,8
abandon,present,none,intransitive,positive,that,12
abandon,progressive,none,intransitive,positive,that,1
abide,progressive,none,intransitive,positive,that,1
abitch,present,none,intransitive,positive,whether,1
abjure,perfect,none,intransitive,positive,whether,1
abound,past,none,intransitive,positive,that,18
abound,present,none,intransitive,positive,that,57
abram,present,none,intransitive,positive,whether,1
absent,present,none,intransitive,positive,that,57
absorb,infinitival,none,intransitive,positive,that,9
absorb,past,none,intransitive,positive,that,13
absorb,perfect,none,intransitive,negative,that,1
absorb,present,none,intransitive,negative,that,1
absorb,progressive,none,intransitive,positive,that,1
abuse,infinitival,none,intransitive,positive,that,4
abuse,perfect,none,intransitive,positive,that,3
abuse,present,none,intransitive,positive,that,97
abuse,present,none,intransitive,positive,whether,1
abuse,progressive,none,intransitive,positive,that,1
abuse,progressive,none,transitive,positive,that,1
accelerate,infinitival,none,intransitive,positive,that,4
accelerate,past,none,intransitive,positive,that,7
accelerate,perfect,none,intransitive,positive,that,3
accelerate,progressive,none,intransitive,positive,that,2
accept,infinitival,none,intransitive,negative,that,10
accept,infinitival,none,intransitive,positive,that,1626
accept,infinitival,none,intransitive,positive,whether,1
accept,infinitival,none,transitive,positive,that,2
accept,modal,be,intransitive,positive,that,9
accept,modal,can,intransitive,negative,that,145
accept,modal,can,intransitive,positive,that,78
accept,modal,could,intransitive,negative,that,42
accept,modal,could,intransitive,positive,that,26
accept,modal,have,intransitive,positive,that,10
accept,modal,must,intransitive,positive,that,91
accept,modal,should,intransitive,negative,that,6
accept,modal,should,intransitive,positive,that,42
accept,modal,will,intransitive,negative,that,42
accept,modal,will,intransitive,positive,that,60
accept,modal,would,intransitive,negative,that,21
accept,modal,would,intransitive,positive,that,30
accept,modal,would,transitive,positive,whether,1
accept,past,none,intransitive,negative,that,20
accept,past,none,intransitive,positive,that,353
accept,past,none,transitive,positive,that,3
accept,past,none,transitive,positive,whether,1
accept,perfect,none,intransitive,negative,that,6
accept,perfect,none,intransitive,positive,that,202
accept,perfect,none,transitive,positive,that,1
accept,present,none,intransitive,negative,that,147
accept,present,none,intransitive,positive,that,1761
accept,present,none,transitive,negative,that,2
accept,present,none,transitive,positive,that,2
accept,progressive,none,intransitive,negative,that,5
accept,progressive,none,intransitive,positive,that,31
access,infinitival,none,intransitive,positive,that,14
access,modal,can,intransitive,negative,that,2
access,modal,can,intransitive,positive,that,13
access,perfect,none,intransitive,positive,that,2
access,present,none,intransitive,positive,that,18
access,present,none,intransitive,positive,whether,1
access,progressive,none,intransitive,negative,that,1
access,progressive,none,intransitive,positive,that,1
accommodate,infinitival,none,intransitive,positive,that,10
accomplish,infinitival,none,intransitive,positive,that,78
accomplish,infinitival,none,intransitive,positive,whether,1
accomplish,modal,can,intransitive,positive,that,15
accomplish,modal,could,intransitive,positive,that,11
accomplish,modal,will,intransitive,negative,that,2
accomplish,modal,will,intransitive,positive,that,9
accomplish,modal,would,transitive,positive,that,1
accomplish,past,none,intransitive,positive,that,45
accomplish,perfect,none,intransitive,negative,that,10
accomplish,perfect,none,intransitive,positive,that,36
accomplish,present,none,intransitive,negative,that,2
accomplish,present,none,intransitive,positive,that,49
accomplish,progressive,none,intransitive,positive,that,3
accord,present,none,intransitive,positive,that,86
account,infinitival,none,intransitive,positive,that,3
account,present,none,intransitive,positive,that,517
account,present,none,intransitive,positive,whether,1
accrue,modal,may,intransitive,positive,whether,1
accrue,present,none,intransitive,positive,whether,2
accumulate,infinitival,none,intransitive,positive,that,5
accumulate,past,none,intransitive,negative,that,1
accumulate,perfect,none,intransitive,positive,that,9
accumulate,progressive,none,intransitive,positive,that,25
accuse,progressive,none,intransitive,negative,that,1
accuse,progressive,none,intransitive,positive,whether,1
accuse,progressive,none,transitive,negative,that,1
accuse,progressive,none,transitive,positive,that,2
ace,perfect,none,intransitive,positive,that,2
achieve,infinitival,none,intransitive,positive,that,102
achieve,modal,can,intransitive,negative,that,5
achieve,modal,can,intransitive,positive,that,16
achieve,modal,will,intransitive,negative,that,1
achieve,past,none,intransitive,negative,that,1
achieve,past,none,intransitive,positive,that,35
achieve,perfect,none,intransitive,negative,that,2
achieve,perfect,none,intransitive,positive,that,39
achieve,present,none,intransitive,negative,that,3
achieve,present,none,intransitive,positive,that,56
achieve,progressive,none,intransitive,negative,that,1
achieve,progressive,none,intransitive,positive,that,4
acknowledge,infinitival,none,intransitive,negative,that,19
acknowledge,infinitival,none,intransitive,positive,that,1403
acknowledge,infinitival,none,intransitive,positive,whether,5
acknowledge,modal,be,intransitive,positive,that,20
acknowledge,modal,can,intransitive,negative,that,11
acknowledge,modal,can,intransitive,positive,that,37
acknowledge,modal,could,intransitive,negative,that,3
acknowledge,modal,might,intransitive,positive,that,8
acknowledge,modal,must,intransitive,positive,that,123
acknowledge,modal,should,intransitive,negative,that,2
acknowledge,modal,should,intransitive,positive,that,60
acknowledge,modal,will,intransitive,negative,that,14
acknowledge,modal,will,intransitive,negative,whether,1
acknowledge,modal,will,intransitive,positive,that,69
acknowledge,modal,would,intransitive,negative,that,8
acknowledge,modal,would,intransitive,negative,whether,1
acknowledge,modal,would,intransitive,positive,that,47
acknowledge,past,none,intransitive,negative,that,32
acknowledge,past,none,intransitive,positive,that,3359
acknowledge,perfect,none,intransitive,negative,that,5
acknowledge,perfect,none,intransitive,positive,that,389
acknowledge,perfect,none,transitive,positive,that,1
acknowledge,present,none,intransitive,negative,that,51
acknowledge,present,none,intransitive,positive,that,5086
acknowledge,present,none,intransitive,positive,whether,1
acknowledge,progressive,none,intransitive,negative,that,11
acknowledge,progressive,none,intransitive,positive,that,119
acknowlege,infinitival,none,intransitive,positive,that,5
acquire,infinitival,none,intransitive,positive,that,3
acquire,past,none,intransitive,positive,that,13
acquire,perfect,none,intransitive,positive,that,9
acquire,progressive,none,intransitive,positive,that,1
acquit,perfect,none,transitive,positive,that,1
act,infinitival,none,intransitive,positive,that,13
act,modal,will,intransitive,positive,whether,1
act,past,none,intransitive,negative,that,1
act,past,none,intransitive,positive,that,5
act,present,none,intransitive,positive,that,575
act,present,none,intransitive,positive,whether,1
act,progressive,none,intransitive,negative,that,3
act,progressive,none,intransitive,positive,that,5
activate,infinitival,none,intransitive,positive,that,3
adapt,infinitival,none,intransitive,positive,whether,1
adapt,past,none,intransitive,positive,that,7
adapt,perfect,none,intransitive,positive,that,6
add,infinitival,none,intransitive,negative,that,4
